Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Integrated Geometry-Generation Specification,SS-374,10424,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Consolidate the geometry research into an authoritative generation and representation specification.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The pipeline from family and parameter vector to valid 2D/3D representation is fully defined.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Principal input to Software geometry tooling, RES-OPT and RES-ML.",{},,,,,"Generator source code, final optimised design and detailed manufacturing plan.",40049,,,,,,,,,,,,,,RES-GEO,Research Deliverable; no lower Jira level is planned. Record citations in res-geo.bib and the research output in res-geo.tex.,,,Consolidate the geometry research into an authoritative generation and representation specification.,0|i000vr:,,"Integrated specification, geometry schemas and traceability matrix.",All preceding RES-GEO deliverables and cross-domain constraints.,"A complete geometry-generation specification for implementation, simulation and optimisation.",Medium,"Families, parameter vectors, construction rules, derived descriptors, arrangements, placement, representations, ranges, constraints, mesh requirements and export needs.",,,,,,,,,,,,RES-GEO-SPEC,,,,10381,SS-331,Barrier Geometry and Spatial Representation,To Do,23/Jun/26 10:32 AM
Candidate Materials and Constitutive Properties,SS-375,10425,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Identify a defensible material shortlist and the constitutive properties required by structural models.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Each retained material has required properties, constitutive model, uncertainty and marine limitations documented.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-STR-ENV, RES-STR-SIM and RES-GEO-CST.",{},,,,,Full lifecycle assessment and detailed material procurement.,40050,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,Identify a defensible material shortlist and the constitutive properties required by structural models.,0|i000vz:,,"Cited property tables, model definitions and selection rationale.","RES-GEO geometry scale, marine application literature and structural-analysis requirements.",A material comparison and selected constitutive-property sets.,Medium,"Concrete, reinforced and fibre-reinforced concrete, steel, corrosion-resistant alloys, composites and hybrids; density, stiffness, strength, fracture, damping and fatigue properties.",,,,,,,,,,,,RES-STR-MAT,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
"Marine Exposure, Degradation and Durability",SS-376,10426,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Assess how marine exposure changes structural properties and serviceability.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Material degradation mechanisms that could alter the design space are identified with affected properties and uncertainty.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-STR-DMG, RES-SUS-MAT and RES-OPT constraints.",{},,,,,Complete lifecycle model unless later justified.,40051,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,Assess how marine exposure changes structural properties and serviceability.,0|i000w7:,,Cited mechanism catalogue and degraded-property rationale.,"RES-STR-MAT, site conditions and durability literature.",Marine-durability requirements and degraded-property assumptions.,Medium,"Saltwater exposure, chloride ingress, corrosion, wetting/drying, abrasion, erosion, biological fouling, chemical attack, fatigue and repeated-event degradation.",,,,,,,,,,,,RES-STR-ENV,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
Structural Load Cases and Load Transfer,SS-377,10427,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Convert fluid pressure, force and impulse into controlled structural load cases.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every load case has scenario linkage, spatial/temporal definition, application surface, uncertainty and required structural outputs.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Supplies inputs to RES-STR-RSP, RES-STR-DMG and RES-STR-SIM.",{},,,,,Fluid-load generation and final load-mapping implementation.,40052,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,"Convert fluid pressure, force and impulse into controlled structural load cases.",0|i000wf:,,"Load-case tables, transfer diagrams and cited assumptions.","RES-PHY-LOD, RES-DAT-SCN and RES-STR-FSI.",A structural load-case and load-transfer specification.,Medium,"Hydrostatic, drag, inertia, buoyancy, uplift, slamming, bore impact, return flow, asymmetric loading, contacts, seabed reaction and transfer of pressure fields or integrated loads.",,,,,,,,,,,,RES-STR-LOD,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
Structural Response and Stability,SS-378,10428,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define the response and stability quantities used to judge barrier performance.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Material, structural, stability and functional failure are distinguished with controlled quantities and thresholds.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-STR-DMG, RES-OPT-CST and RES-VER-MET.",{},,,,,Hydrodynamic response and optimisation selection.,40053,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,Define the response and stability quantities used to judge barrier performance.,0|i000wn:,,"Response definitions, equations and failure-mode map.","RES-STR-LOD, RES-STR-MAT and RES-GEO arrangements.",A structural-response measure and stability-assessment framework.,Medium,"Stress, strain, displacement, rotation, acceleration, strain energy, plasticity, cracking, buckling, sliding, overturning, rocking, uplift, loss of contact and inter-unit separation.",,,,,,,,,,,,RES-STR-RSP,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
"Damage, Failure and Performance-Loss Models",SS-379,10429,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Define barrier damage, failure and the resulting loss of hydrodynamic function.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Damage initiation, progression, failure state, residual capacity and effect on barrier performance are defined.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies constraints and outputs to RES-OPT and later simulation assessment.,{},,,,,Downstream societal damage as a single combined barrier-damage metric.,40054,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,"Define barrier damage, failure and the resulting loss of hydrodynamic function.",0|i000wv:,,"Cited criteria, damage-state table and model-selection rationale.",RES-STR-MAT/ENV/LOD/RSP and relevant damage literature.,"A damage taxonomy, selected failure criteria and performance-loss framework.",Medium,"Cracking, crushing, yielding, fracture, fatigue, erosion, permanent deformation, displacement, overturning, loss of interlocking, scour/support loss and post-damage performance.",,,,,,,,,,,,RES-STR-DMG,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
Fluid–Structure Interaction and Coupling Fidelity,SS-380,10430,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select the level of fluid–structure interaction required for credible barrier analysis.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The conditions requiring rigid, one-way, rigid-body or two-way treatment are explicit.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-MOD-MUL, RES-NUM-IBC and Software.",{},,,,,Coupling API implementation and final coupled simulation execution.,40055,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,Select the level of fluid–structure interaction required for credible barrier analysis.,0|i000x3:,,"Method comparison, coupling variables and staged adoption rationale.","RES-PHY-LOD, RES-MOD-MUL, RES-STR-RSP and computational limits.",A staged FSI fidelity hierarchy and coupling requirements.,Medium,"Rigid CFD, one-way fluid-to-structure transfer, rigid-body motion, two-way coupling, transfer variables, coupling time scale, moving boundaries and contact.",,,,,,,,,,,,RES-STR-FSI,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
Structural Simulation and Finite-Element Methodology,SS-381,10431,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select the structural analysis methods and tool capabilities required by the chosen materials and load cases.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The selected method supports required constitutive, contact, transient, damage and coupling capabilities.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies implementation requirements to Software and tests to RES-VER.,{},,,,,"Automation scripts, solver integration and final structural runs.",40056,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,Select the structural analysis methods and tool capabilities required by the chosen materials and load cases.,0|i000xb:,,"Capability matrix, method comparison and selection rationale.",RES-STR-MAT/LOD/RSP/DMG/FSI and software availability.,A justified structural-analysis methodology and tool role.,Medium,"Analytical checks, ANSYS Mechanical/APDL, Abaqus and relevant alternatives; static/transient, linear/nonlinear, contact, explicit/implicit dynamics, damage, meshing and load mapping.",,,,,,,,,,,,RES-STR-SIM,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
Integrated Structural and Damage Specification,SS-382,10432,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Consolidate materials, loads, response, damage, coupling and simulation methodology.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The chain from hydrodynamic event to load, response, failure criterion and residual function is traceable.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Principal input to RES-OPT, RES-VER and Software.",{},,,,,Final solver runs and certification-level structural design.,40057,,,,,,,,,,,,,,RES-STR,Research Deliverable; no lower Jira level is planned. Record citations in res-str.bib and the research output in res-str.tex.,,,"Consolidate materials, loads, response, damage, coupling and simulation methodology.",0|i000xj:,,"Integrated specification, load/response matrix and assumption register.",All preceding RES-STR deliverables.,An authoritative structural and damage specification.,Medium,"Selected materials, degradation assumptions, load cases, response quantities, stability criteria, failure thresholds, FSI fidelity, required CFD inputs and optimisation constraints.",,,,,,,,,,,,RES-STR-SPEC,,,,10382,SS-332,"Materials, Structural Response and Damage",To Do,23/Jun/26 10:32 AM
Simulation Credibility and Test Framework,SS-383,10433,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Define the hierarchy, purpose and governance of tests required before model progression.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Mandatory, repeated, method-specific and case-specific tests are distinguished with required evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Organises all RES-VER deliverables and informs Software testing.,{},,,,,Executing tests and issuing final validation claims.,40058,,,,,,,,,,,,,,RES-VER,Research Deliverable; no lower Jira level is planned. Record citations in res-ver.bib and the research output in res-ver.tex.,,,"Define the hierarchy, purpose and governance of tests required before model progression.",0|i000xr:,,"Framework diagram, test categories and progression rules.","RES-MOD-SPEC, RES-NUM-SPEC and project risk/quality needs.",A staged verification hierarchy and test-governance framework.,Medium,"Equation/formulation checks, numerical-method checks, implementation checks, individual simulation checks, coupling checks and scientific plausibility checks.",,,,,,,,,,,,RES-VER-FRM,,,,10383,SS-333,"Verification, Testing and Uncertainty Methodology",To Do,23/Jun/26 10:32 AM
Analytical and Canonical Benchmark Suite,SS-384,10434,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Select reproducible non-laboratory benchmark cases for testing equations and numerical behaviours.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every benchmark identifies the feature tested, conditions, reference result, outputs, metrics and required mesh/time-step variants.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies cases to Software tests and later benchmark campaigns.,{},,,,,"Laboratory experiments, final Tohoku comparison and benchmark execution.",40059,,,,,,,,,,,,,,RES-VER,Research Deliverable; no lower Jira level is planned. Record citations in res-ver.bib and the research output in res-ver.tex.,,,Select reproducible non-laboratory benchmark cases for testing equations and numerical behaviours.,0|i000xz:,,"Benchmark specifications, reference solutions and citations.",RES-MOD/NUM methods and authoritative analytical or canonical references.,An approved benchmark catalogue with case definitions and expected behaviour.,Medium,"Still water, lake at rest, uniform flow, linear waves, advection/diffusion, manufactured solutions where practical, dam breaks, wetting/drying, bores, wall reflection, varying bathymetry, simplified obstacles and interface-transfer cases.",,,,,,,,,,,,RES-VER-BMK,,,,10383,SS-333,"Verification, Testing and Uncertainty Methodology",To Do,23/Jun/26 10:32 AM
"Component, Conservation and Interface Test Design",SS-385,10435,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Translate the mathematical and numerical architecture into explicit component and integration tests.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Each test has inputs, expected behaviour, metric, tolerance and evidence requirement.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Direct input to Software unit, integration and regression testing.",{},,,,,Test implementation and execution results.,40060,,,,,,,,,,,,,,RES-VER,Research Deliverable; no lower Jira level is planned. Record citations in res-ver.bib and the research output in res-ver.tex.,,,Translate the mathematical and numerical architecture into explicit component and integration tests.,0|i000y7:,,"Test-case tables, limiting-case logic and traceability to components.","RES-MOD-SPEC, RES-NUM-SPEC and Software component boundaries.","A component, conservation, condition and interface test catalogue.",Medium,"Fluxes, source terms, gradients, limiters, wet/dry states, boundaries, time-step logic, geometry metrics, interpolation, internal-face conservation, global balances, earthquake initialisation and model-interface transfer.",,,,,,,,,,,,RES-VER-TST,,,,10383,SS-333,"Verification, Testing and Uncertainty Methodology",To Do,23/Jun/26 10:32 AM
Convergence and Numerical-Error Test Methodology,SS-386,10436,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Define how spatial, temporal, iterative, coupling and domain errors will be assessed after implementation.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The method separates major error sources and defines reproducible acceptance rules.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies execution plans to later simulation campaigns.,{},,,,,Actual convergence curves and final numerical-error estimates.,40061,,,,,,,,,,,,,,RES-VER,Research Deliverable; no lower Jira level is planned. Record citations in res-ver.bib and the research output in res-ver.tex.,,,"Define how spatial, temporal, iterative, coupling and domain errors will be assessed after implementation.",0|i000yf:,,"Convergence templates, metric equations and planned refinement matrices.",RES-NUM-STB/ERR and intended simulation outputs.,A convergence-study and numerical-error assessment specification.,Medium,"Refinement levels and ratios, monitored quantities, error norms, observed order, GCI, asymptotic checks, domain-size and boundary-location sensitivity and adaptive-mesh consistency.",,,,,,,,,,,,RES-VER-CNV,,,,10383,SS-333,"Verification, Testing and Uncertainty Methodology",To Do,23/Jun/26 10:32 AM
"Test Metrics, Tolerances and Acceptance Criteria",SS-387,10437,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define the canonical metrics and pass/fail rules used across the test suite.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every metric has a definition, extraction procedure, units, reference, sampling rule, tolerance and rationale.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Used by Software testing and all later simulation-quality checks.,{},,,,,Optimisation objectives and final performance claims.,40062,,,,,,,,,,,,,,RES-VER,Research Deliverable; no lower Jira level is planned. Record citations in res-ver.bib and the research output in res-ver.tex.,,,Define the canonical metrics and pass/fail rules used across the test suite.,0|i000yn:,,"Metric register, equations and threshold justification.",RES-VER-BMK/TST/CNV and metric definitions from relevant Domains.,A controlled test-metric and tolerance catalogue.,Medium,"Conservation and equilibrium errors, residual behaviour, positivity, convergence order, wave amplitude/phase/arrival time, shoreline-front position, coupling mismatch and structural load-transfer error.",,,,,,,,,,,,RES-VER-MET,,,,10383,SS-333,"Verification, Testing and Uncertainty Methodology",To Do,23/Jun/26 10:32 AM
Sensitivity and Uncertainty Assessment Methodology,SS-388,10438,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define proportionate methods for screening uncertain inputs and modelling choices.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Variables, ranges, monitored outputs, ranking method and reporting rules are defined.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Supplies methods to RES-OPT-ROB, RES-ML-GEN and later campaigns.",{},,,,,Full probabilistic campaign and final uncertainty results.,40063,,,,,,,,,,,,,,RES-VER,Research Deliverable; no lower Jira level is planned. Record citations in res-ver.bib and the research output in res-ver.tex.,,,Define proportionate methods for screening uncertain inputs and modelling choices.,0|i000yv:,,"Uncertainty taxonomy, parameter table and analysis plan.","RES-DAT-UNC, RES-MOD-ASM, RES-NUM-ERR, RES-GEO and RES-STR.",A sensitivity matrix and uncertainty-assessment plan.,Medium,"Source parameters, bathymetric resolution, friction, viscosity, turbulence, wet/dry threshold, mesh, time step, domain extent, boundaries, geometry, placement, materials and coupling assumptions.",,,,,,,,,,,,RES-VER-UQ,,,,10383,SS-333,"Verification, Testing and Uncertainty Methodology",To Do,23/Jun/26 10:32 AM
Integrated Simulation Test Specification,SS-389,10439,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Consolidate benchmarks, component tests, convergence methods, metrics and uncertainty plans into one executable test specification.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every intended solver feature maps to at least one reproducible test and acceptance criterion.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Principal input to Software test infrastructure and later simulation assessment.,{},,,,,Running the tests and declaring the final model credible.,40064,,,,,,,,,,,,,,RES-VER,Research Deliverable; no lower Jira level is planned. Record citations in res-ver.bib and the research output in res-ver.tex.,,,"Consolidate benchmarks, component tests, convergence methods, metrics and uncertainty plans into one executable test specification.",0|i000z3:,,"Integrated test matrix, benchmark index and traceability map.",All preceding RES-VER deliverables plus RES-MOD-SPEC and RES-NUM-SPEC.,An authoritative test specification suitable for Software implementation and later execution.,Medium,"Component-to-test mapping, input definitions, expected outputs, metrics, tolerances, execution stage and retained evidence.",,,,,,,,,,,,RES-VER-SPEC,,,,10383,SS-333,"Verification, Testing and Uncertainty Methodology",To Do,23/Jun/26 10:32 AM
Optimisation Problem and Design-Space Definition,SS-390,10440,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Formulate the barrier-design problem and controlled design vector.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Active, fixed, derived, scenario-controlled and uncertain variables are distinguished with admissible ranges.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Foundation for all RES-OPT deliverables and RES-ML representations.,{},,,,,Geometry generation and optimisation execution.,40065,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Formulate the barrier-design problem and controlled design vector.,0|i000zb:,,"Design-vector schema, bounds table and hierarchical-variable rules.","RES-GEO-SPEC, RES-DAT-SCN, RES-STR-SPEC and project objectives.",A formal optimisation problem and design-space definition.,Medium,"Continuous and discrete variables, geometry family, arrangement, placement, material choice, fixed/scenario/uncertain parameters, hierarchical variables and fidelity levels.",,,,,,,,,,,,RES-OPT-PRB,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
Objective Functions and Performance Measures,SS-391,10441,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define the quantities and mathematical functions used to judge design quality.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every objective has a definition, direction, units, normalisation, reference, scenario aggregation and uncertainty treatment.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies reward/loss components to RES-ML-OBJ.,{},,,,,Test tolerances and arbitrary objective weights without rationale.,40066,,,,,,,,,,,,,,RES-OPT,Research Deliverable; no lower Jira level is planned. Record citations in res-opt.bib and the research output in res-opt.tex.,,,Define the quantities and mathematical functions used to judge design quality.,0|i000zj:,,"Objective equations, metric mapping and conflict analysis.","RES-PHY, RES-STR, RES-VER-MET and RES-SUS metrics.",A canonical objective-function catalogue.,Medium,"Transmitted energy, run-up, inundation, velocity, force, impulse, stress, damage, material use, footprint, environmental proxies and normalisation against no-barrier or reference cases.",,,,,,,,,,,,RES-OPT-OBJ,,,,10384,SS-334,Design Optimisation,To Do,23/Jun/26 10:32 AM
